Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ESGV,40881,0,0.00,0,0.00,76.89,31256,9625
COWZ,40429,0,0.00,0,0.00,43.25,40429,0
MOAT,38201,0,0.00,0,0.00,72.85,37828,373
VNM,37775,0,0.00,0,0.00,18.95,37275,500
ESEB,33300,0,0.00,0,0.00,21.51,33200,100
FGRO,32434,0,0.00,0,0.00,18.76,32434,0
IYT,31720,0,0.00,0,0.00,278.07,30620,1100
BBCA,31210,0,0.00,0,0.00,63.73,30786,424
EFG,30253,0,0.00,0,0.00,104.84,26454,3799
EEMV,30163,0,0.00,0,0.00,62.91,30163,0
BBAX,25103,0,0.00,0,0.00,59.32,24840,263
IAGG,24620,0,0.00,0,0.00,54.62,24350,270
IZRL,24084,0,0.00,0,0.00,29.67,23584,500
IEO,23493,0,0.00,0,0.00,53.89,23493,0
VUSB,22823,0,0.00,0,0.00,50.10,22823,0
RYLD,22383,0,0.00,0,0.00,24.90,19922,2461
VSGX,21319,0,0.00,0,0.00,63.08,21061,258
TAIL,21253,0,0.00,0,0.00,18.74,20869,384
ACWV,20378,0,0.00,0,0.00,102.67,20303,75
ESML,20341,0,0.00,0,0.00,39.48,20341,0
IYJ,20126,0,0.00,0,0.00,111.54,15376,4750
PRNT,19539,0,0.00,0,0.00,36.69,19024,515
BMAY,18703,0,0.00,0,0.00,30.40,17833,870
FRDM,17751,0,0.00,0,0.00,33.86,17751,0
IFRA,17679,0,0.00,0,0.00,36.46,17679,0
FMIL,17499,0,0.00,0,0.00,29.49,17499,0
SYLD,17168,0,0.00,0,0.00,67.00,14317,2851
BBUS,17062,0,0.00,0,0.00,76.23,16561,501
NEAR,13972,0,0.00,0,0.00,50.18,13972,0
ITM,13116,0,0.00,0,0.00,51.59,12875,241
HEFA,12765,0,0.00,0,0.00,33.71,12532,233
FBCG,12442,0,0.00,0,0.00,29.52,12442,0
IBHE,12309,0,0.00,0,0.00,25.07,12309,0
BUFR,11829,0,0.00,0,0.00,22.60,11829,0
BBIN,11580,0,0.00,0,0.00,60.18,11480,100
CNYA,11551,0,0.00,0,0.00,42.71,11551,0
DRSK,11013,0,0.00,0,0.00,29.69,11013,0
SMIN,10645,0,0.00,0,0.00,49.85,10645,0
MFMS,10581,0,0.00,0,0.00,36.86,10581,0
SECT,9826,0,0.00,0,0.00,40.06,9651,175
SLVP,9618,0,0.00,0,0.00,16.41,9618,0
CALF,9525,0,0.00,0,0.00,43.52,9525,0
SHYD,9264,0,0.00,0,0.00,25.15,9264,0
LYFE,9243,0,0.00,0,0.00,29.98,9243,0
VFMO,9147,0,0.00,0,0.00,125.44,2792,6355
ICF,8851,0,0.00,0,0.00,61.41,7951,900
SMB,8723,0,0.00,0,0.00,18.04,7723,1000
CEMB,8596,0,0.00,0,0.00,52.12,8596,0
VIXM,8491,0,0.00,0,0.00,33.00,5701,2790
PSMM,8480,0,0.00,0,0.00,15.15,8480,0
EGIS,8341,0,0.00,0,0.00,31.61,8341,0
NUSC,7541,0,0.00,0,0.00,44.10,7541,0
HEGD,7473,0,0.00,0,0.00,17.74,7473,0
EYLD,7410,0,0.00,0,0.00,38.33,7410,0
OGIG,7357,0,0.00,0,0.00,49.79,7341,16
EWUS,7209,0,0.00,0,0.00,48.44,7209,0
KNG,7162,0,0.00,0,0.00,54.69,6980,182
EDEN,7099,0,0.00,0,0.00,104.93,7099,0
PTLC,7059,0,0.00,0,0.00,36.49,6868,191
ICVT,6752,0,0.00,0,0.00,94.86,6752,0
EFNL,6293,0,0.00,0,0.00,49.63,6293,0
FPRO,6290,0,0.00,0,0.00,22.40,6290,0
IQDG,6159,0,0.00,0,0.00,39.41,5316,843
IGHG,6118,0,0.00,0,0.00,76.55,5718,400
OUSA,6035,0,0.00,0,0.00,41.83,3634,2401
EMHY,5684,0,0.00,0,0.00,45.43,5684,0
FDG,5602,0,0.00,0,0.00,73.35,5602,0
FLV,5573,0,0.00,0,0.00,61.38,5573,0
IYLD,5326,0,0.00,0,0.00,23.79,4726,600
REGL,5308,0,0.00,0,0.00,74.33,5308,0
SHAG,5048,0,0.00,0,0.00,51.09,5048,0
FAPR,4985,0,0.00,0,0.00,30.11,4985,0
BBRE,4979,0,0.00,0,0.00,91.21,4979,0
HSRT,4916,0,0.00,0,0.00,41.07,4916,0
VFVA,4836,0,0.00,0,0.00,101.71,4836,0
FCPI,4711,0,0.00,0,0.00,29.04,4711,0
IBMM,4410,0,0.00,0,0.00,26.96,4410,0
VXZ,4298,0,0.00,0,0.00,27.81,4153,145
GSEW,4287,0,0.00,0,0.00,65.15,4287,0
IBMN,4152,0,0.00,0,0.00,27.99,4152,0
OMFL,4109,0,0.00,0,0.00,46.44,4082,27
PAWZ,3921,0,0.00,0,0.00,75.24,3921,0
MAMB,3907,0,0.00,0,0.00,25.20,3907,0
VCEB,3790,0,0.00,0,0.00,72.96,3790,0
IBML,3705,0,0.00,0,0.00,26.12,3705,0
HEEM,3576,0,0.00,0,0.00,31.57,3576,0
IBHB,3451,0,0.00,0,0.00,24.26,3451,0
JEMA,3413,0,0.00,0,0.00,48.47,3413,0
NULG,3388,0,0.00,0,0.00,59.23,3343,45
OUSM,3355,0,0.00,0,0.00,35.78,3355,0
NUMG,3314,0,0.00,0,0.00,50.03,3314,0
SMDV,3065,0,0.00,0,0.00,67.54,2952,113
ADME,3050,0,0.00,0,0.00,38.47,3050,0
QVAL,3037,0,0.00,0,0.00,34.77,3037,0
DWLD,3014,0,0.00,0,0.00,34.35,3014,0
TMAT,2946,0,0.00,0,0.00,22.04,2946,0
GTIP,2942,0,0.00,0,0.00,57.62,2942,0
DAPR,2930,0,0.00,0,0.00,30.10,2930,0
CEFS,2907,0,0.00,0,0.00,20.99,2763,144
TOKE,2848,0,0.00,0,0.00,17.17,2848,0
WUGI,2820,0,0.00,0,0.00,48.01,2820,0
JMST,2783,0,0.00,0,0.00,51.04,2783,0
TMFC,2743,0,0.00,0,0.00,36.85,2743,0
MBCC,2716,0,0.00,0,0.00,26.26,1116,1600
GHYG,2650,0,0.00,0,0.00,50.64,2650,0
UMAY,2650,0,0.00,0,0.00,27.64,300,2350
QMOM,2624,0,0.00,0,0.00,45.87,2624,0
BUYZ,2599,0,0.00,0,0.00,45.39,2599,0
XSHD,2592,0,0.00,0,0.00,23.75,2592,0
PMAY,2586,0,0.00,0,0.00,28.94,2586,0
DFNL,2573,0,0.00,0,0.00,31.07,2573,0
FFTG,2480,0,0.00,0,0.00,30.43,2480,0
NULV,2354,0,0.00,0,0.00,38.35,2354,0
RVRS,2274,0,0.00,0,0.00,23.25,2274,0
PSFF,2246,0,0.00,0,0.00,21.65,2246,0
GVAL,2222,0,0.00,0,0.00,23.80,2222,0
SMMV,2188,0,0.00,0,0.00,37.76,2188,0
EMGF,2147,0,0.00,0,0.00,52.39,2147,0
CBTG,2130,0,0.00,0,0.00,25.37,2130,0
PAPR,2116,0,0.00,0,0.00,28.06,1816,300
BUFF,2106,0,0.00,0,0.00,34.43,2106,0
REC,2100,0,0.00,0,0.00,24.72,2000,100
GSUS,2081,0,0.00,0,0.00,57.74,2081,0
PJUL,2043,0,0.00,0,0.00,29.48,2043,0
ESG,1997,0,0.00,0,0.00,101.78,1997,0
TRTY,1976,0,0.00,0,0.00,27.97,1976,0
PTMC,1965,0,0.00,0,0.00,35.65,1965,0
IEHS,1931,0,0.00,0,0.00,40.31,1931,0
LUXE,1925,0,0.00,0,0.00,29.43,1925,0
HYIN,1912,0,0.00,0,0.00,24.58,1912,0
JCPB,1893,0,0.00,0,0.00,54.16,1893,0
JPHY,1826,0,0.00,0,0.00,51.78,1676,150
FJAN,1814,0,0.00,0,0.00,32.17,1814,0
GVI,1707,0,0.00,0,0.00,115.46,1707,0
QMAR,1676,0,0.00,0,0.00,20.69,1676,0
DUSA,1647,0,0.00,0,0.00,35.51,1647,0
ENOR,1643,0,0.00,0,0.00,29.16,1643,0
IBMQ,1636,0,0.00,0,0.00,27.35,1636,0
EPRF,1602,0,0.00,0,0.00,24.19,1602,0
QDEC,1596,0,0.00,0,0.00,20.80,1596,0
FLQL,1570,0,0.00,0,0.00,42.02,1570,0
PTNQ,1558,0,0.00,0,0.00,53.03,1558,0
VWID,1551,0,0.00,0,0.00,30.03,1051,500
DUDE,1447,0,0.00,0,0.00,26.64,1447,0
MLN,1424,0,0.00,0,0.00,21.67,1424,0
IBMO,1423,0,0.00,0,0.00,26.94,1423,0
FCTR,1415,0,0.00,0,0.00,34.43,1415,0
IEDI,1403,0,0.00,0,0.00,43.36,1403,0
STLV,1301,0,0.00,0,0.00,29.24,1301,0
NUMV,1293,0,0.00,0,0.00,37.23,1293,0
VAMO,1244,0,0.00,0,0.00,24.12,1244,0
DIVB,1220,0,0.00,0,0.00,39.25,1217,3
NURE,1218,0,0.00,0,0.00,32.24,1218,0
LEAD,1214,0,0.00,0,0.00,51.99,1214,0
DMAR,1204,0,0.00,0,0.00,30.53,1204,0
ESCR,1200,0,0.00,0,0.00,21.76,1200,0
IVRA,1185,0,0.00,0,0.00,14.02,1185,0
SEPZ,1173,0,0.00,0,0.00,28.87,1173,0
FYLD,1171,0,0.00,0,0.00,28.94,1171,0
MSVX,1168,0,0.00,0,0.00,25.69,1168,0
IGEB,1165,0,0.00,0,0.00,53.19,1165,0
IBHC,1163,0,0.00,0,0.00,24.63,1163,0
OILK,1143,0,0.00,0,0.00,58.42,1143,0
JPIB,1135,0,0.00,0,0.00,51.45,1135,0
BAPR,1080,0,0.00,0,0.00,31.03,1040,40
HYDB,1060,0,0.00,0,0.00,51.48,1060,0
IAUF,1052,0,0.00,0,0.00,56.69,1052,0
IBMP,1003,0,0.00,0,0.00,27.09,1003,0
DINT,993,0,0.00,0,0.00,23.43,993,0
UNOV,966,0,0.00,0,0.00,29.00,966,0
DFND,955,0,0.00,0,0.00,36.38,955,0
TDV,951,0,0.00,0,0.00,57.72,951,0
KAPR,937,0,0.00,0,0.00,27.15,937,0
